run_id,schema_version,timestamp,git_commit,git_dirty,model,model_revision,model_num_parameters,model_config.vocab_size,model_config.hidden_size,model_config.intermediate_size,model_config.num_layers,model_config.num_heads,model_config.num_kv_heads,model_config.max_position_embeddings,model_config.rms_norm_eps,model_config.rope_theta,model_config.tie_word_embeddings,model_config.head_dim,weights_are_random,tokenizer,model_loaded_offline,task,dataset,context_length,generated_tokens,batch_size,precision,policy,policy_config.cache_config.num_layers,policy_config.cache_config.num_kv_heads,policy_config.cache_config.head_dim,policy_config.cache_config.dtype,policy_config.cache_config.device,policy_config.cache_config.capacity,policy_config.cache_config.attention_sinks,policy_config.cache_config.batch_size,policy_config.compressor.name,policy_config.compressor.lossy,policy_config.compressor.key_axis,policy_config.compressor.value_axis,policy_config.compressor.num_bits,policy_config.compressor.symmetric_keys,policy_config.compressor.symmetric_values,capacity,attention_sinks,compressor,memory_budget_mb,device,gpu_name,gpu_total_memory_bytes,gpu_compute_capability,peak_memory_bytes,cache_bytes_total,cache_bytes_on_device,cache_bytes_offloaded,cache_compression_ratio,cache_final_tokens,mirror_overhead_bytes,ttft_ms,tpot_ms,prefill_ms,decode_ms,total_ms,latency_p50_ms,latency_p90_ms,tokens_per_second,quality_metric,quality_value,quality_reference,seed,torch_version,cuda_version,platform,python_version,environment.device_name,environment.device_total_memory_bytes,environment.compute_capability,environment.torch_version,environment.cuda_version,environment.quality_chunk_size,environment.quality_used_cache,environment.quality_is_interpretable,environment.quality_caveat,notes,status,quality_delta,policy_config.policy.name,policy_config.policy.uses_attention,policy_config.policy.window
full_cache-synthetic:tiny-128-7b35b4db,1.0.0,2026-09-19T05:40:48.968139+00:00,f770aa145f489ac7937682f916f3a3a613ac5fe1,True,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,,generation,,128,2,1,float32,full_cache,4,2,32,torch.float32,cpu,,0,1,int8,True,2,3,8,True,True,,0,,,cpu,,,,,264192,264192,0,1.0,516,,40.94269999768585,19.355399999767542,40.94269999768585,19.513400009600446,60.456100007286295,19.355399999767542,19.355399999767542,102.49367096538866,needle_retrieval,0.0,0.0,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,AMD64,,,2.6.0+cu124,12.4,1,,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,reference: the needle is always resident,experimental,0.0,,,
sliding_window-synthetic:tiny-128-5d2aabf6,1.0.0,2026-09-19T05:40:49.586625+00:00,f770aa145f489ac7937682f916f3a3a613ac5fe1,True,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,,generation,,128,2,1,float32,sliding_window,4,2,32,torch.float32,cpu,32,4,1,int8,True,2,3,8,True,True,32,4,,,cpu,,,,,65536,65536,0,1.0,128,,42.30130001087673,20.577199989929795,42.30130001087673,20.691399986390024,62.992699997266755,20.577199989929795,20.577199989929795,96.65851519546865,needle_retrieval,0.0,0.0,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,AMD64,,,2.6.0+cu124,12.4,1,,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,"evicting run: budget 32 of 128 tokens, needle at 50% depth",experimental,0.0,sliding_window,False,
