run_id,schema_version,timestamp,git_commit,git_dirty,model,model_revision,model_num_parameters,model_config.model_type,model_config.num_layers,model_config.num_heads,model_config.num_kv_heads,model_config.head_dim,model_config.hidden_size,model_config.vocab_size,weights_are_random,tokenizer,model_loaded_offline,task,dataset,context_length,generated_tokens,batch_size,precision,policy,policy_config.cache_config.num_layers,policy_config.cache_config.num_kv_heads,policy_config.cache_config.head_dim,policy_config.cache_config.dtype,policy_config.cache_config.device,policy_config.cache_config.capacity,policy_config.cache_config.attention_sinks,policy_config.cache_config.batch_size,policy_config.compressor.name,policy_config.compressor.lossy,policy_config.compressor.key_axis,policy_config.compressor.value_axis,policy_config.compressor.num_bits,policy_config.compressor.symmetric_keys,policy_config.compressor.symmetric_values,capacity,capacity_schedule,attention_sinks,compressor,memory_budget_mb,device,gpu_name,gpu_total_memory_bytes,gpu_compute_capability,peak_memory_bytes,cache_bytes_total,cache_bytes_on_device,cache_bytes_offloaded,cache_compression_ratio,cache_final_tokens,tokens_per_layer,utilization_per_layer,mirror_overhead_bytes,ttft_ms,tpot_ms,prefill_ms,decode_ms,total_ms,latency_p50_ms,latency_p90_ms,tokens_per_second,quality_metric,quality_value,quality_reference,seed,torch_version,cuda_version,platform,python_version,environment.device_name,environment.device_total_memory_bytes,environment.compute_capability,environment.torch_version,environment.cuda_version,environment.quality_chunk_size,environment.quality_used_cache,environment.quality_is_interpretable,environment.quality_caveat,notes,status,quality_delta,policy_config.policy.name,policy_config.policy.uses_attention,policy_config.policy.window
full_cache-hf-internal-testing/tiny-random-LlamaForCausalLM-32-498e67e3,1.0.0,2026-09-21T07:23:59.105400+00:00,cbadb5f7dec86e2eab96359b871401e34f152f27,True,hf-internal-testing/tiny-random-LlamaForCausalLM,,1032272,llama,2,4,4,4,16,32000,False,hf-internal-testing/tiny-random-LlamaForCausalLM,True,summarize,,32,8,1,float32,full_cache,2,4,4,torch.float32,cpu,,0,1,int8,True,2,3,8,True,True,,,0,,,cpu,,,,,9984,9984,0,1.0,78,39|39,,0,9.490600001299754,5.1448714262473265,9.490600001299754,38.47899998072535,47.9695999820251,5.076600005850196,5.808119993889704,207.90561095681562,perplexity,31003.046875,31003.046875,42,2.14.0+cpu,,Windows-11-10.0.26200-SP0,3.13.2,AMD64,,,2.14.0+cpu,,1,True,True,,full_cache reference on real HF Llama architecture memory figures include the HF backend's K/V mirror; see uniqkache.models.hf_backend's docstring,experimental,0.0,,,
sliding_window-hf-internal-testing/tiny-random-LlamaForCausalLM-32-6c9adb96,1.0.0,2026-09-21T07:23:59.817986+00:00,cbadb5f7dec86e2eab96359b871401e34f152f27,True,hf-internal-testing/tiny-random-LlamaForCausalLM,,1032272,llama,2,4,4,4,16,32000,False,hf-internal-testing/tiny-random-LlamaForCausalLM,True,summarize,,32,8,1,float32,sliding_window,2,4,4,torch.float32,cpu,16,2,1,int8,True,2,3,8,True,True,16,,2,,,cpu,,,,,4096,4096,0,1.0,32,16|16,1.0|1.0,0,8.538099995348603,4.850057149139632,8.538099995348603,36.10359999584034,44.64169999118894,4.797200002940372,5.242419999558479,221.58455115062532,perplexity,30989.595703125,31003.046875,42,2.14.0+cpu,,Windows-11-10.0.26200-SP0,3.13.2,AMD64,,,2.14.0+cpu,,1,True,True,,bounded sliding_window eviction (capacity=16) on real HF Llama architecture memory figures include the HF backend's K/V mirror; see uniqkache.models.hf_backend's docstring,experimental,13.451171875,sliding_window,False,
