run_id,schema_version,timestamp,git_commit,git_dirty,model,model_revision,model_num_parameters,model_config.vocab_size,model_config.hidden_size,model_config.intermediate_size,model_config.num_layers,model_config.num_heads,model_config.num_kv_heads,model_config.max_position_embeddings,model_config.rms_norm_eps,model_config.rope_theta,model_config.tie_word_embeddings,model_config.head_dim,weights_are_random,tokenizer,task,dataset,context_length,batch_size,precision,policy,policy_config.cache_config.num_layers,policy_config.cache_config.num_kv_heads,policy_config.cache_config.head_dim,policy_config.cache_config.dtype,policy_config.cache_config.device,policy_config.cache_config.capacity,policy_config.cache_config.attention_sinks,policy_config.cache_config.batch_size,policy_config.compressor.name,policy_config.compressor.lossy,policy_config.compressor.key_axis,policy_config.compressor.value_axis,policy_config.compressor.num_bits,policy_config.compressor.symmetric_keys,policy_config.compressor.symmetric_values,capacity,attention_sinks,compressor,device,gpu_name,gpu_total_memory_bytes,gpu_compute_capability,peak_memory_bytes,cache_bytes_total,cache_bytes_on_device,cache_bytes_offloaded,cache_compression_ratio,cache_final_tokens,ttft_ms,tpot_ms,prefill_ms,decode_ms,total_ms,latency_p50_ms,latency_p90_ms,tokens_per_second,quality_metric,quality_value,quality_reference,seed,torch_version,cuda_version,platform,python_version,environment.device_name,environment.device_total_memory_bytes,environment.compute_capability,environment.torch_version,environment.cuda_version,environment.quality_chunk_size,environment.quality_used_cache,environment.quality_is_interpretable,environment.quality_caveat,notes,status,quality_delta,policy_config.policy.name,policy_config.policy.uses_attention,policy_config.policy.window,policy_config.policy.normalize,policy_config.policy.weights.attention,policy_config.policy.weights.recency,policy_config.policy.weights.frequency,policy_config.policy.weights.position
full_cache-synthetic:tiny-128-38102260,1.0.0,2026-09-13T07:01:00.870245+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,1,float32,full_cache,4,2,32,torch.float32,cuda,,0,1,int8,True,2,3,8,True,True,,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,12423680,268288,268288,0,1.0,524,50.407700007781386,33.82099999968583,50.407700007781386,102.07439999794587,152.48210000572726,29.277299996465445,40.39393998682499,39.18710274153456,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,reference row,experimental,0.0,,,,,,,,
sliding_window-synthetic:tiny-128-9ed6272e,1.0.0,2026-09-13T07:01:09.134454+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,1,float32,sliding_window,4,2,32,torch.float32,cuda,256,0,1,int8,True,2,3,8,True,True,256,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,12424192,268288,268288,0,1.0,524,29.11049997783266,31.89383332695191,29.11049997783266,96.30110001307912,125.41159999091178,32.66689999145456,32.71585999173112,41.53638950600502,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,"capacity 256 > 132 total tokens, so no eviction should occur",experimental,0.0,sliding_window,False,,,,,,
lru-synthetic:tiny-128-b3c1de7c,1.0.0,2026-09-13T07:01:13.533767+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,1,float32,lru,4,2,32,torch.float32,cuda,256,0,1,int8,True,2,3,8,True,True,256,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,13211136,268288,268288,0,1.0,524,30.639000004157424,29.39866667535777,30.639000004157424,96.18659998523071,126.82559998938814,29.769400018267334,29.966200003400445,41.585834207823055,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,"capacity 256 > 132 total tokens, so no eviction should occur",experimental,0.0,lru,True,,,,,,
attention_based-synthetic:tiny-128-bd6f26d6,1.0.0,2026-09-13T07:01:17.946971+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,1,float32,attention_based,4,2,32,torch.float32,cuda,256,0,1,int8,True,2,3,8,True,True,256,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,13211648,268288,268288,0,1.0,524,22.50120000098832,28.76046666642651,22.50120000098832,93.79020001506433,116.29140001605265,29.316200001630932,29.32747999439016,42.648379034883504,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,"capacity 256 > 132 total tokens, so no eviction should occur",experimental,0.0,attention_based,True,,False,,,,
token_importance-synthetic:tiny-128-864438de,1.0.0,2026-09-13T07:01:22.320857+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,1,float32,token_importance,4,2,32,torch.float32,cuda,256,0,1,int8,True,2,3,8,True,True,256,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,13212160,268288,268288,0,1.0,524,29.691000003367662,29.696099993695196,29.691000003367662,96.60979997715913,126.30079998052679,29.6704999927897,29.834979987936094,41.40366713258589,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,"capacity 256 > 132 total tokens, so no eviction should occur",experimental,0.0,token_importance,True,,rank,1.0,0.5,0.25,0.0
