run_id,schema_version,timestamp,git_commit,git_dirty,model,model_revision,model_num_parameters,model_config.vocab_size,model_config.hidden_size,model_config.intermediate_size,model_config.num_layers,model_config.num_heads,model_config.num_kv_heads,model_config.max_position_embeddings,model_config.rms_norm_eps,model_config.rope_theta,model_config.tie_word_embeddings,model_config.head_dim,weights_are_random,tokenizer,task,dataset,context_length,generated_tokens,batch_size,precision,policy,policy_config.cache_config.num_layers,policy_config.cache_config.num_kv_heads,policy_config.cache_config.head_dim,policy_config.cache_config.dtype,policy_config.cache_config.device,policy_config.cache_config.capacity,policy_config.cache_config.attention_sinks,policy_config.cache_config.batch_size,policy_config.compressor.name,policy_config.compressor.lossy,policy_config.compressor.key_axis,policy_config.compressor.value_axis,policy_config.compressor.num_bits,policy_config.compressor.symmetric_keys,policy_config.compressor.symmetric_values,capacity,attention_sinks,compressor,device,gpu_name,gpu_total_memory_bytes,gpu_compute_capability,peak_memory_bytes,cache_bytes_total,cache_bytes_on_device,cache_bytes_offloaded,cache_compression_ratio,cache_final_tokens,ttft_ms,tpot_ms,prefill_ms,decode_ms,total_ms,latency_p50_ms,latency_p90_ms,tokens_per_second,quality_metric,quality_value,quality_reference,seed,torch_version,cuda_version,platform,python_version,environment.device_name,environment.device_total_memory_bytes,environment.compute_capability,environment.torch_version,environment.cuda_version,environment.quality_chunk_size,environment.quality_used_cache,environment.quality_is_interpretable,environment.quality_caveat,notes,status,quality_delta,policy_config.policy.name,policy_config.policy.uses_attention,policy_config.policy.window,policy_config.policy.normalize,policy_config.policy.weights.attention,policy_config.policy.weights.recency,policy_config.policy.weights.frequency,policy_config.policy.weights.position
full_cache-synthetic:tiny-128-de7b9e5d,1.0.0,2026-09-13T08:02:32.823087+00:00,6973a8e1aef7723cc38f750bfdb70c24ff95c90f,False,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,4,1,float32,full_cache,4,2,32,torch.float32,cuda,,0,1,int8,True,2,3,8,True,True,,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,12423680,268288,268288,0,1.0,524,97.35229998477735,68.28816666772279,97.35229998477735,206.12730001448654,303.4795999992639,49.673100002110004,95.22357999812812,19.405483891356855,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,reference row,experimental,0.0,,,,,,,,
sliding_window-synthetic:tiny-128-c69aed13,1.0.0,2026-09-13T08:02:45.773961+00:00,6973a8e1aef7723cc38f750bfdb70c24ff95c90f,False,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,4,1,float32,sliding_window,4,2,32,torch.float32,cuda,256,0,1,int8,True,2,3,8,True,True,256,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,12424192,268288,268288,0,1.0,524,51.18029998266138,47.45403331859658,51.18029998266138,143.42360000591725,194.60389998857863,48.748399975011125,48.97055999026634,27.889412898818403,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,"capacity 256 > 132 total tokens, so no eviction should occur",experimental,0.0,sliding_window,False,,,,,,
lru-synthetic:tiny-128-a96020c7,1.0.0,2026-09-13T08:02:51.679490+00:00,6973a8e1aef7723cc38f750bfdb70c24ff95c90f,False,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,4,1,float32,lru,4,2,32,torch.float32,cuda,256,0,1,int8,True,2,3,8,True,True,256,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,13211136,268288,268288,0,1.0,524,22.776400001021102,23.11363332167578,22.776400001021102,77.11789998575114,99.89429998677224,23.251999984495342,25.28176000341773,51.86863232451959,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,"capacity 256 > 132 total tokens, so no eviction should occur",experimental,0.0,lru,True,,,,,,
attention_based-synthetic:tiny-128-16eb519a,1.0.0,2026-09-13T08:02:58.622942+00:00,6973a8e1aef7723cc38f750bfdb70c24ff95c90f,False,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,4,1,float32,attention_based,4,2,32,torch.float32,cuda,256,0,1,int8,True,2,3,8,True,True,256,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,13211648,268288,268288,0,1.0,524,26.304800005163997,23.72073333632822,26.304800005163997,76.97290001669899,103.27770002186298,26.210099982563406,26.593620015773922,51.966341389400874,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,"capacity 256 > 132 total tokens, so no eviction should occur",experimental,0.0,attention_based,True,,False,,,,
token_importance-synthetic:tiny-128-eb7bda4a,1.0.0,2026-09-13T08:03:04.707221+00:00,6973a8e1aef7723cc38f750bfdb70c24ff95c90f,False,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,correctness,,128,4,1,float32,token_importance,4,2,32,torch.float32,cuda,256,0,1,int8,True,2,3,8,True,True,256,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,13212160,268288,268288,0,1.0,524,25.781900010770187,25.792766672869522,25.781900010770187,83.54809999582358,109.33000000659376,26.860500016482547,30.542819999391213,47.87661239693007,perplexity,502.0596923828125,502.0596923828125,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,"capacity 256 > 132 total tokens, so no eviction should occur",experimental,0.0,token_importance,True,,rank,1.0,0.5,0.25,0.0
