run_id,schema_version,timestamp,git_commit,git_dirty,model,model_revision,model_num_parameters,model_config.vocab_size,model_config.hidden_size,model_config.intermediate_size,model_config.num_layers,model_config.num_heads,model_config.num_kv_heads,model_config.max_position_embeddings,model_config.rms_norm_eps,model_config.rope_theta,model_config.tie_word_embeddings,model_config.head_dim,weights_are_random,tokenizer,task,dataset,context_length,batch_size,precision,policy,policy_config.cache_config.num_layers,policy_config.cache_config.num_kv_heads,policy_config.cache_config.head_dim,policy_config.cache_config.dtype,policy_config.cache_config.device,policy_config.cache_config.capacity,policy_config.cache_config.attention_sinks,policy_config.cache_config.batch_size,policy_config.compressor.name,policy_config.compressor.lossy,policy_config.compressor.key_axis,policy_config.compressor.value_axis,policy_config.compressor.num_bits,policy_config.compressor.symmetric_keys,policy_config.compressor.symmetric_values,capacity,attention_sinks,compressor,device,gpu_name,gpu_total_memory_bytes,gpu_compute_capability,peak_memory_bytes,cache_bytes_total,cache_bytes_on_device,cache_bytes_offloaded,cache_compression_ratio,cache_final_tokens,ttft_ms,tpot_ms,prefill_ms,decode_ms,total_ms,latency_p50_ms,latency_p90_ms,tokens_per_second,quality_metric,quality_value,quality_reference,seed,torch_version,cuda_version,platform,python_version,environment.device_name,environment.device_total_memory_bytes,environment.compute_capability,environment.torch_version,environment.cuda_version,environment.quality_chunk_size,environment.quality_used_cache,environment.quality_is_interpretable,environment.quality_caveat,notes,status,quality_delta,policy_config.policy.name,policy_config.policy.uses_attention,policy_config.policy.window
full_cache-synthetic:tiny-192-b2026c24,1.0.0,2026-09-13T06:48:27.470295+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,generation,,192,1,float32,full_cache,4,2,32,torch.float32,cuda,,0,1,int8,True,2,3,8,True,True,,0,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,13469184,395264,395264,0,1.0,772,41.90710000693798,50.136699981521815,41.90710000693798,50.58190002455376,92.48900003149174,50.136699981521815,50.136699981521815,39.53983537647159,perplexity,515.57421875,515.57421875,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,,experimental,0.0,,,
sliding_window-synthetic:tiny-192-537e05dc,1.0.0,2026-09-13T06:48:40.499368+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,generation,,192,1,float32,sliding_window,4,2,32,torch.float32,cuda,144,4,1,int8,True,2,3,8,True,True,144,4,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,13116416,294912,294912,0,1.0,576,292.02750002150424,39.43309999885969,292.02750002150424,39.74360000574961,331.77110002725385,39.43309999885969,39.43309999885969,50.32256765141217,perplexity,514.5647583007812,515.57421875,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,,experimental,1.00946044921875,sliding_window,False,
sliding_window-synthetic:tiny-192-c99fa4ae,1.0.0,2026-09-13T06:48:48.944402+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,generation,,192,1,float32,sliding_window,4,2,32,torch.float32,cuda,96,4,1,int8,True,2,3,8,True,True,96,4,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,12657152,196608,196608,0,1.0,384,39.22879998572171,37.560700002359226,39.22879998572171,37.78400001465343,77.01280000037514,37.560700002359226,37.560700002359226,52.93245816282972,perplexity,514.4882202148438,515.57421875,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,,experimental,1.08599853515625,sliding_window,False,
sliding_window-synthetic:tiny-192-8eece46c,1.0.0,2026-09-13T06:48:56.836520+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,generation,,192,1,float32,sliding_window,4,2,32,torch.float32,cuda,48,4,1,int8,True,2,3,8,True,True,48,4,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,12338176,98304,98304,0,1.0,192,50.71390001103282,44.518700015032664,50.71390001103282,44.74910002318211,95.46300003421493,44.518700015032664,44.518700015032664,44.693636273442536,perplexity,515.1434326171875,515.57421875,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,,experimental,0.4307861328125,sliding_window,False,
sliding_window-synthetic:tiny-192-9f310afe,1.0.0,2026-09-13T06:49:05.093949+00:00,,,synthetic:tiny,,656512,512,128,256,4,4,2,2048,1e-06,10000.0,True,32,True,,generation,,192,1,float32,sliding_window,4,2,32,torch.float32,cuda,19,4,1,int8,True,2,3,8,True,True,19,4,,cuda,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,12281344,38912,38912,0,1.0,76,49.28089998429641,38.063300016801804,49.28089998429641,38.26960001606494,87.55050000036135,38.063300016801804,38.063300016801804,52.26080228589881,perplexity,527.706787109375,515.57421875,0,2.6.0+cu124,12.4,Windows-10-10.0.26200-SP0,3.10.11,NVIDIA GeForce RTX 3050 Laptop GPU,4294443008,8.6,2.6.0+cu124,12.4,1,True,False,measured on a randomly-initialised model. Valid as a diagnostic of cache behaviour (information loss must worsen it) but NOT valid as model quality. Do not quote as a language-modelling result.,,experimental,-12.132568359375,sliding_window,False,
